text,conf,x1,y1,x2,y2,block_num,line_num
17:09:21,96.0,394,725,494,748,4,2
QTY,93.0,6,754,44,778,5,1
ITEM,96.0,60,754,111,778,5,1
TOTAL,96.0,458,757,523,780,5,1
2,59.0,33,787,44,810,5,2
M,59.0,59,788,71,810,5,2
SpicyDeluxe,91.0,86,787,231,814,5,2
25.40,85.0,459,790,523,813,5,2
2,75.0,59,821,71,844,5,3
M,75.0,86,821,98,844,5,3
Coke,96.0,112,820,164,845,5,3
2,62.0,59,854,71,878,5,4
M,62.0,86,855,97,877,5,4
Fries,95.0,113,855,177,878,5,4
1M,75.0,35,888,71,911,5,5
GrilChicBgr,91.0,86,887,231,915,5,5
12.50,92.0,461,891,523,914,5,5
1M,64.0,62,921,98,944,5,6
Coke,95.0,112,921,164,945,5,6
1M,84.0,62,954,98,977,5,7
Fries,96.0,114,954,178,977,5,7
1,88.0,35,987,41,1009,5,8
Smal],65.0,59,986,121,1009,5,8
Cone,95.0,139,987,191,1010,5,8
1.00,86.0,474,989,524,1012,5,8
TakeOut,51.0,6,1051,96,1075,5,9
Total,96.0,113,1051,174,1075,5,9
(incl,87.0,195,1052,254,1078,5,9
GST),95.0,272,1053,322,1079,5,9
38.90,95.0,459,1054,524,1077,5,9
Total,96.0,6,1083,67,1108,5,10
Rounded,96.0,85,1084,178,1108,5,10
38.90,94.0,459,1087,524,1110,5,10
Cash,93.0,6,1117,57,1142,5,11
Tendered,92.0,73,1118,178,1142,5,11
50.00,96.0,458,1121,524,1144,5,11
Change,96.0,6,1146,84,1184,5,12
11.10,95.0,461,1154,524,1177,5,12
TOTAL,96.0,6,1217,71,1241,5,13
INCLUDES,96.0,88,1218,191,1241,5,13
6%,96.0,206,1219,231,1242,5,13
GST,96.0,246,1220,284,1242,5,13
2.20,93.0,472,1221,524,1243,5,13
y,5.0,46,1315,53,1338,6,1
love,77.0,115,1315,164,1339,6,1
to,96.0,180,1316,205,1339,6,1
hear,96.0,219,1316,271,1340,6,1
your,96.0,286,1323,337,1343,6,1
feedback!,96.0,353,1317,467,1341,6,1
Visit,93.0,73,1382,136,1405,7,1
www.mcdfeedback,17.0,153,1383,348,1407,7,1
.com.my,72.0,357,1390,443,1410,7,1
OR,95.0,246,1416,271,1439,7,2
Download,90.0,73,1448,178,1472,7,3
My,96.0,193,1450,218,1476,7,3
McD,96.0,233,1450,271,1473,7,3
Feedback,96.0,287,1449,390,1473,7,3
from,96.0,406,1450,457,1474,7,3
Google,91.0,126,1481,205,1509,7,4
Play/App,92.0,219,1481,324,1509,7,4
Store,96.0,339,1483,404,1507,7,4
to,96.0,99,1548,124,1570,8,1
share,96.0,139,1547,204,1571,8,1
your,96.0,220,1554,271,1574,8,1
experience,95.0,286,1549,417,1575,8,1
Thank,96.0,33,1612,97,1636,9,1
You,96.0,113,1615,151,1637,9,1
and,96.0,166,1613,204,1637,9,1
Please,96.0,219,1613,298,1638,9,1
Come,96.0,313,1615,364,1638,9,1
Again.,96.0,379,1616,454,1642,9,1
ustomer,87.0,19,1646,111,1670,9,2
Service,96.0,126,1647,218,1671,9,2
Hotline,92.0,233,1647,324,1672,9,2
:,79.0,344,1656,347,1672,9,2
03-2726-5600,92.0,366,1649,524,1673,9,2
